jour,taux_incid_glissant
2021-11-02,62.30947346416401
2021-11-03,66.1253122346206
2021-11-04,69.89347164519643
2021-11-05,73.4902833562008
2021-11-06,76.20204694941867
2021-11-07,76.64904094830075
2021-11-08,95.19035202192893
2021-11-09,94.3351035040679
2021-11-10,99.04344029229236
2021-11-11,90.07227073472924
2021-11-12,101.02958362732501
2021-11-13,105.38479515643263
2021-11-14,106.83603567280308
2021-11-15,120.3367444190378
2021-11-16,132.4979611486226
2021-11-17,144.63831815825955
2021-11-18,172.43240500874657
2021-11-19,181.68369080560907
2021-11-20,192.0569315396656
2021-11-21,194.0475448146871
2021-11-22,214.11757536449193
2021-11-23,232.50690847850024
2021-11-24,252.20742398922923
2021-11-25,272.79745755773354
2021-11-26,294.4528268235735
2021-11-27,308.91159270741207
2021-11-28,312.53820401834196
2021-11-29,344.72624187783964
2021-11-30,368.9399067972813
2021-12-01,390.4999173433597
2021-12-02,413.916442964795
2021-12-03,434.2293402539924
2021-12-04,447.14150690169913
2021-12-05,450.3941332335643
2021-12-06,472.6484744579062
2021-12-07,487.61830348046664
2021-12-08,499.1447887316389
2021-12-09,504.62493515793307
2021-12-10,507.3933179910093
2021-12-11,509.17980400654136
2021-12-12,510.8083521424683
2021-12-13,518.6873663627629
2021-12-14,523.7503183901005
2021-12-15,530.1244528141588
2021-12-16,535.3900421209895
2021-12-17,543.3957046409673
2021-12-18,551.1167809816569
2021-12-19,556.1439734890839
2021-12-20,571.8900820897029
2021-12-21,605.4503915257686
2021-12-22,655.4273005607764
2021-12-23,723.1752010113389
2021-12-24,778.1971823137288
2021-12-25,742.9517055018778
2021-12-26,773.0314216666485
2021-12-27,980.4068375480025
2021-12-28,1166.161153703431
2021-12-29,1357.8426102840358
2021-12-30,1548.80440652644
2021-12-31,1709.2365126451996
2022-01-01,1728.5287736369496
2022-01-02,1778.4803530120207
2022-01-03,2083.558227189021
2022-01-04,2285.3804876242634
2022-01-05,2410.0590337524422
2022-01-06,2492.590515726031
2022-01-07,2602.688117610677
2022-01-08,2857.3480486737726
2022-01-09,2869.5927042831486
2022-01-10,2865.5608184132325
2022-01-11,2851.380678788697
2022-01-12,2902.4408032809956
2022-01-13,2944.322650996249
2022-01-14,3015.090740899258
2022-01-15,3084.0604249467647
2022-01-16,3116.595628145394
2022-01-17,3264.933566634401
2022-01-18,3388.5750866851736
2022-01-19,3506.612791969961
2022-01-20,3619.3923578479
2022-01-21,3699.913856806515
2022-01-22,3748.3396966654022
2022-01-23,3754.815149729207
2022-01-24,3810.7191991893915
2022-01-25,3783.8935993364817
2022-01-26,3727.976140056332
2022-01-27,3658.915567229052
2022-01-28,3579.4012947479173
2022-01-29,3509.279856163291
2022-01-30,3476.5047661852614
2022-01-31,3301.2637488835394
2022-02-01,3144.696650875114
2022-02-02,2982.524248120707
2022-02-03,2813.5962760631955
2022-02-04,2639.880998277658
2022-02-05,2510.4956053412507
2022-02-06,2459.3892914690673
2022-02-07,2173.1209247650245
2022-02-08,1972.1434829876691
2022-02-09,1788.5049384269491
2022-02-10,1633.7019767341112
2022-02-11,1496.0606046383525
2022-02-12,1400.9581614362037
2022-02-13,1372.9778270861825
2022-02-14,1208.2948080380547
2022-02-15,1110.0291373038172
2022-02-16,1023.4627895003197
2022-02-17,952.2328057984657
2022-02-18,890.4373754330161
2022-02-19,850.0216680340959
2022-02-20,836.5582087877679
2022-02-21,766.1745337237975
2022-02-22,722.4555406731387
2022-02-23,682.4883172530967
2022-02-24,649.0933955966174
2022-02-25,616.1961272588935
2022-02-26,593.4903220956807
2022-02-27,587.20111653141
2022-02-28,561.025147956876
2022-03-01,548.2038700889422
2022-03-02,541.3469821460912
2022-03-03,540.6332817278762
2022-03-04,541.0325963668774
2022-03-05,545.5517056955752
2022-03-06,548.3200885286515
2022-03-07,569.4882343357099
2022-03-08,587.0670183317454
2022-03-09,608.7670869974735
2022-03-10,631.7395985800192
2022-03-11,659.7810221098877
2022-03-12,682.4659675531526
2022-03-13,688.4988965580642
2022-03-14,744.9616885168508
2022-03-15,784.657735577571
2022-03-16,824.9706343567484
2022-03-17,863.3033497208783
2022-03-18,901.1026522463424
2022-03-19,930.6310758124916
2022-03-20,937.9781671741166
2022-03-21,1025.7499087945994
