date,incid_dchosp,deces_glissant
2022-02-05,172,277
2022-02-06,129,278
2022-02-07,417,287
2022-02-08,363,285
2022-02-09,255,282
2022-02-10,310,286
2022-02-11,269,274
2022-02-12,161,272
2022-02-13,107,269
2022-02-14,388,265
2022-02-15,304,256
2022-02-16,244,255
2022-02-17,259,247
2022-02-18,273,248
2022-02-19,148,246
2022-02-20,79,242
2022-02-21,283,227
2022-02-22,286,225
2022-02-23,213,220
2022-02-24,197,211
2022-02-25,188,199
2022-02-26,93,191
2022-02-27,52,187
2022-02-28,232,180
2022-03-01,200,168
2022-03-02,165,161
2022-03-03,167,157
2022-03-04,162,153
2022-03-05,109,155
2022-03-06,32,152
2022-03-07,173,144
2022-03-08,173,140
2022-03-09,136,136
2022-03-10,100,126
2022-03-11,134,122
2022-03-12,52,114
2022-03-13,29,114
2022-03-14,162,112
2022-03-15,146,108
2022-03-16,145,110
2022-03-17,110,111
2022-03-18,108,107
2022-03-19,59,108
2022-03-20,27,108
2022-03-21,162,108
2022-03-22,146,108
2022-03-23,91,100
2022-03-24,112,101
2022-03-25,112,101
2022-03-26,59,101
2022-03-27,25,101
2022-03-28,151,99
2022-03-29,137,98
2022-03-30,132,104
2022-03-31,121,105
2022-04-01,125,107
2022-04-02,58,107
2022-04-03,24,107
