dep,jour,taux_incid_glissant,tranche_age
69,2020-09-23,233.96232824362653,40-49
69,2020-09-23,212.80457371024093,50-59
69,2020-09-23,129.3733200985914,60-69
69,2020-09-23,117.70726714431935,70-79
69,2020-09-23,143.6166192143919,80-89
69,2020-09-23,209.7064110245656,+90
69,2020-09-23,221.6357657654296,Tous âges
69,2020-09-24,48.573624944034734,0-9
69,2020-09-24,262.23341673985453,10-19
69,2020-09-24,449.5440979572297,20-29
69,2020-09-24,244.7425316386412,30-39
69,2020-09-24,232.68848616607505,40-49
69,2020-09-24,215.52702028222697,50-59
69,2020-09-24,136.62268717308143,60-69
69,2020-09-24,119.1694692206463,70-79
69,2020-09-24,129.75887525510848,80-89
69,2020-09-24,175.4686296327998,+90
69,2020-09-24,221.3692484905794,Tous âges
69,2020-09-25,41.81555538660382,0-9
69,2020-09-25,275.49008235703513,10-19
69,2020-09-25,454.406055755436,20-29
69,2020-09-25,248.2611942340849,30-39
69,2020-09-25,233.53771421777606,40-49
69,2020-09-25,218.703207949544,50-59
69,2020-09-25,140.52619252088377,60-69
69,2020-09-25,122.82497441146367,70-79
69,2020-09-25,122.20010582277204,80-89
69,2020-09-25,149.79029358897543,+90
69,2020-09-25,223.87451087417134,Tous âges
69,2020-09-26,39.70365864990665,0-9
69,2020-09-26,275.49008235703513,10-19
69,2020-09-26,451.0400849720624,20-29
69,2020-09-26,244.35156912803632,30-39
69,2020-09-26,225.89466175246702,40-49
69,2020-09-26,213.71205590090293,50-59
69,2020-09-26,140.52619252088377,60-69
69,2020-09-26,124.28717648779062,70-79
69,2020-09-26,124.71969563355086,80-89
69,2020-09-26,171.18890695882908,+90
69,2020-09-26,221.52915885548953,Tous âges
69,2020-09-27,39.28127930256722,0-9
69,2020-09-27,274.24726995542443,10-19
69,2020-09-27,444.68214015902345,20-29
69,2020-09-27,243.5696441068266,30-39
69,2020-09-27,226.3192757783175,40-49
69,2020-09-27,213.25831480557196,50-59
69,2020-09-27,139.41090527865452,60-69
69,2020-09-27,125.01827752595409,70-79
69,2020-09-27,128.49908034971907,80-89
69,2020-09-27,175.4686296327998,+90
69,2020-09-27,220.46308975608872,Tous âges
69,2020-09-28,41.39317603926438,0-9
69,2020-09-28,264.304770742539,10-19
69,2020-09-28,428.60027974957177,20-29
69,2020-09-28,237.7052064477537,30-39
69,2020-09-28,214.00546902865295,40-49
69,2020-09-28,206.90593947093788,50-59
69,2020-09-28,128.25803285636215,60-69
69,2020-09-28,119.90057025880976,70-79
69,2020-09-28,104.56297714732041,80-89
69,2020-09-28,162.6294616108876,+90
69,2020-09-28,211.45480586615184,Tous âges
69,2020-09-29,33.367968439815165,0-9
69,2020-09-29,257.67643793394865,10-19
69,2020-09-29,407.6564615419138,20-29
69,2020-09-29,225.58536861900313,30-39
69,2020-09-29,205.0885744857924,40-49
69,2020-09-29,191.02500113435272,50-59
69,2020-09-29,129.930963719706,60-69
69,2020-09-29,118.43836818248282,70-79
69,2020-09-29,105.82277205270982,80-89
69,2020-09-29,184.02807498074125,+90
69,2020-09-29,202.23330815633474,Tous âges
69,2020-09-30,35.0574858291729,0-9
69,2020-09-30,256.8478963328749,10-19
69,2020-09-30,401.2985167288748,20-29
69,2020-09-30,219.32996844932538,30-39
69,2020-09-30,211.45778487354994,40-49
69,2020-09-30,205.09097508961386,50-59
69,2020-09-30,134.94975630973755,60-69
69,2020-09-30,118.43836818248282,70-79
69,2020-09-30,114.64133639043563,80-89
69,2020-09-30,218.26585637250707,+90
69,2020-09-30,204.31214290016638,Tous âges
69,2020-10-01,35.0574858291729,0-9
69,2020-10-01,258.91925033555935,10-19
69,2020-10-01,395.3145686695439,20-29
69,2020-10-01,216.5932308750914,30-39
69,2020-10-01,214.00546902865295,40-49
69,2020-10-01,205.54471618494486,50-59
69,2020-10-01,133.2768254463937,60-69
69,2020-10-01,106.00965053370376,70-79
69,2020-10-01,115.90113129582504,80-89
69,2020-10-01,201.14696567662418,+90
69,2020-10-01,202.49982543118497,Tous âges
69,2020-10-02,43.505072775961544,0-9
69,2020-10-02,259.33352113609624,10-19
69,2020-10-02,402.04651023629117,20-29
69,2020-10-02,223.63055606597882,30-39
69,2020-10-02,225.4700477266165,40-49
69,2020-10-02,214.16579699623395,50-59
69,2020-10-02,136.62268717308143,60-69
69,2020-10-02,108.20295364819417,70-79
69,2020-10-02,119.68051601199325,80-89
69,2020-10-02,239.6644697423607,+90
69,2020-10-02,209.10945384747,Tous âges
69,2020-10-03,46.03934885999814,0-9
69,2020-10-03,252.7051883275059,10-19
69,2020-10-03,404.66448751224846,20-29
69,2020-10-03,225.58536861900313,30-39
69,2020-10-03,230.5654160368225,40-49
69,2020-10-03,218.24946685421298,50-59
69,2020-10-03,138.29561803642528,60-69
69,2020-10-03,110.39625676268462,70-79
69,2020-10-03,117.16092620121445,80-89
69,2020-10-03,222.54557904647777,+90
69,2020-10-03,210.33543331178097,Tous âges
69,2020-10-04,46.03934885999814,0-9
69,2020-10-04,253.94800072911661,10-19
69,2020-10-04,407.28246478820563,20-29
69,2020-10-04,225.19440610839825,30-39
69,2020-10-04,228.86695993342053,40-49
69,2020-10-04,220.518172330868,50-59
69,2020-10-04,138.85326165753992,60-69
69,2020-10-04,114.78286299166545,70-79
69,2020-10-04,117.16092620121445,80-89
69,2020-10-04,222.54557904647777,+90
69,2020-10-04,211.24159204627168,Tous âges
69,2020-10-05,44.34983147064041,0-9
69,2020-10-05,279.2185195618672,10-19
69,2020-10-05,428.2262829958636,20-29
69,2020-10-05,254.9075569143675,30-39
69,2020-10-05,266.2329942082647,40-49
69,2020-10-05,250.9188257180453,50-59
69,2020-10-05,161.71665012323925,60-69
69,2020-10-05,130.1359847930984,70-79
69,2020-10-05,137.3176446874449,80-89
69,2020-10-05,265.34280578618507,+90
69,2020-10-05,234.26868459332925,Tous âges
69,2020-10-06,52.79741841742906,0-9
69,2020-10-06,300.76060118978575,10-19
69,2020-10-06,456.65003627768516,20-29
69,2020-10-06,290.87610789001445,30-39
69,2020-10-06,299.77750225045435,40-49
69,2020-10-06,279.0507736285675,50-59
69,2020-10-06,173.42716616664623,60-69
69,2020-10-06,154.26231905249307,70-79
69,2020-10-06,159.99395298445413,80-89
69,2020-10-06,286.7414191560387,+90
69,2020-10-06,258.681666969608,Tous âges
69,2020-10-07,59.55548797485998,0-9
69,2020-10-07,325.6168492219994,10-19
69,2020-10-07,486.94377332804754,20-29
69,2020-10-07,325.6717713338468,30-39
69,2020-10-07,326.10357185318543,40-49
69,2020-10-07,294.9317119651527,50-59
69,2020-10-07,190.15647480008477,60-69
69,2020-10-07,165.22883462494516,70-79
69,2020-10-07,171.33210713295875,80-89
69,2020-10-07,261.0630831122143,+90
69,2020-10-07,279.5233178628939,Tous âges
69,2020-10-08,69.69259231100636,0-9
69,2020-10-08,353.78726365850827,10-19
69,2020-10-08,523.9694519451571,20-29
69,2020-10-08,379.23363528671234,30-39
69,2020-10-08,371.96188664503967,40-49
69,2020-10-08,326.693588638323,50-59
69,2020-10-08,206.3281398124087,60-69
69,2020-10-08,189.3551688843398,70-79
69,2020-10-08,183.93005618685277,80-89
69,2020-10-08,312.41975519986306,+90
69,2020-10-08,310.972356295218,Tous âges
69,2020-10-09,70.1149716583458,0-9
69,2020-10-09,405.985384526157,10-19
69,2020-10-09,561.3691273159749,20-29
69,2020-10-09,427.3220240911099,30-39
69,2020-10-09,412.30021910083735,40-49
69,2020-10-09,363.9003584554653,50-59
69,2020-10-09,225.28802293030571,60-69
69,2020-10-09,206.9015938002632,70-79
69,2020-10-09,195.2682103353574,80-89
69,2020-10-09,338.0980912436874,+90
69,2020-10-09,342.95442927724247,Tous âges
69,2020-10-10,70.53735100568522,0-9
69,2020-10-10,419.24205014333774,10-19
69,2020-10-10,573.3370234346365,20-29
69,2020-10-10,437.09608685623135,30-39
69,2020-10-10,425.4632539022029,40-49
69,2020-10-10,377.0588502200644,50-59
69,2020-10-10,231.97974638368112,60-69
69,2020-10-10,209.0948969147536,70-79
69,2020-10-10,212.90533901080906,80-89
69,2020-10-10,346.65753659162885,+90
69,2020-10-10,352.6023546268198,Tous âges
69,2020-10-11,71.3821097003641,0-9
69,2020-10-11,419.6563209438746,10-19
69,2020-10-11,574.8330104494693,20-29
69,2020-10-11,442.1785994940945,30-39
69,2020-10-11,426.7370959797544,40-49
69,2020-10-11,376.6051091247334,50-59
69,2020-10-11,232.53739000479575,60-69
69,2020-10-11,204.70829068577277,70-79
69,2020-10-11,231.80226259165008,80-89
69,2020-10-11,389.45476333133615,+90
69,2020-10-11,354.84109973556156,Tous âges
69,2020-10-12,81.09683468917103,0-9
69,2020-10-12,470.61162940991267,10-19
69,2020-10-12,633.176504027945,20-29
69,2020-10-12,492.61276336212114,30-39
69,2020-10-12,472.17079674575814,40-49
69,2020-10-12,421.9792186578339,50-59
69,2020-10-12,253.17020398603663,60-69
69,2020-10-12,226.641321830677,70-79
69,2020-10-12,275.89508428027915,80-89
69,2020-10-12,492.1681075066336,+90
69,2020-10-12,395.61824278764277,Tous âges
69,2020-10-13,83.63111077320764,0-9
69,2020-10-13,509.9673554609177,10-19
69,2020-10-13,684.0400625322573,20-29
69,2020-10-13,548.9113648892207,30-39
69,2020-10-13,515.9060414083598,40-49
69,2020-10-13,457.3710240936522,50-59
69,2020-10-13,303.91577350746684,60-69
69,2020-10-13,244.91884778476384,70-79
69,2020-10-13,289.7528282395626,80-89
69,2020-10-13,543.5247795942822,+90
69,2020-10-13,432.98396472164137,Tous âges
69,2020-10-14,88.27728359394139,0-9
69,2020-10-14,545.5946443070907,10-19
69,2020-10-14,727.4236859624059,20-29
69,2020-10-14,596.9997536936183,30-39
69,2020-10-14,563.8874263294665,40-49
69,2020-10-14,495.9390171967875,50-59
69,2020-10-14,329.5673800787393,60-69
69,2020-10-14,288.05380903640884,70-79
69,2020-10-14,323.7672906850765,80-89
69,2020-10-14,693.3150731832577,+90
69,2020-10-14,470.3496866556399,Tous âges
69,2020-10-15,87.01014555192309,0-9
69,2020-10-15,583.2932871559481,10-19
69,2020-10-15,804.4670172262905,20-29
69,2020-10-15,636.0960047541041,30-39
69,2020-10-15,599.1303904750582,40-49
69,2020-10-15,530.8770815372749,50-59
69,2020-10-15,367.4871463145333,60-69
69,2020-10-15,313.6423453721304,70-79
69,2020-10-15,413.21272896772405,80-89
69,2020-10-15,907.3012068817941,+90
69,2020-10-15,511.8197746223317,Tous âges
69,2020-10-16,91.23393902531741,0-9
69,2020-10-16,607.7352643876249,10-19
69,2020-10-16,863.5585043121825,20-29
69,2020-10-16,689.2669061963649,30-39
69,2020-10-16,654.3302138356235,40-49
69,2020-10-16,564.4539225917691,50-59
69,2020-10-16,423.8091520471097,60-69
69,2020-10-16,361.8950138909197,70-79
69,2020-10-16,468.6437048048578,80-89
69,2020-10-16,1052.8117777967987,+90
69,2020-10-16,555.1021800580048,Tous âges
69,2020-10-17,96.72487054073004,0-9
69,2020-10-17,615.192138797289,10-19
69,2020-10-17,875.152403677136,20-29
69,2020-10-17,709.5969567478174,30-39
69,2020-10-17,671.739388895494,40-49
69,2020-10-17,578.9736376423613,50-59
69,2020-10-17,434.96202446940214,60-69
69,2020-10-17,379.4414388068431,70-79
69,2020-10-17,478.722064047973,80-89
69,2020-10-17,1091.3292818625353,+90
69,2020-10-17,568.321436890575,Tous âges
69,2020-10-18,96.72487054073004,0-9
69,2020-10-18,615.192138797289,10-19
69,2020-10-18,874.0304134160116,20-29
69,2020-10-18,710.3788817690272,30-39
69,2020-10-18,674.7116870764476,40-49
69,2020-10-18,581.6960842143473,50-59
69,2020-10-18,439.42317343831905,60-69
69,2020-10-18,389.67685334113173,70-79
69,2020-10-18,478.722064047973,80-89
69,2020-10-18,1104.1684498844475,+90
69,2020-10-18,570.2936647244665,Tous âges
69,2020-10-19,103.48294009816095,0-9
69,2020-10-19,623.8918256085639,10-19
69,2020-10-19,926.0159621814482,20-29
69,2020-10-19,778.0153961036676,30-39
69,2020-10-19,750.2929836778368,40-49
69,2020-10-19,622.0790416988067,50-59
69,2020-10-19,495.1875355497809,60-69
69,2020-10-19,436.46731978359406,70-79
69,2020-10-19,579.5056564791252,80-89
69,2020-10-19,1343.8329196268082,+90
69,2020-10-19,619.0663260220538,Tous âges
69,2020-10-20,103.90531944550041,0-9
69,2020-10-20,635.4914080235968,10-19
69,2020-10-20,999.3193259082511,20-29
69,2020-10-20,827.2766724398797,30-39
69,2020-10-20,805.4928070384021,40-49
69,2020-10-20,690.1402059984573,50-59
69,2020-10-20,514.7050622887924,60-69
69,2020-10-20,466.44246234829654,70-79
69,2020-10-20,645.0149915593742,80-89
69,2020-10-20,1425.147650432252,+90
69,2020-10-20,660.5897174437155,Tous âges
69,2020-10-21,105.1724574875187,0-9
69,2020-10-21,632.5915124198385,10-19
69,2020-10-21,1089.82654030563,20-29
69,2020-10-21,882.01142392456,30-39
69,2020-10-21,868.3356828642764,40-49
69,2020-10-21,766.822451109397,50-59
69,2020-10-21,571.5847116424835,60-69
69,2020-10-21,505.92191840912415,70-79
69,2020-10-21,708.0047368288443,80-89
69,2020-10-21,1493.6232132157836,+90
69,2020-10-21,709.468985651243,Tous âges
69,2020-10-22,106.86197487687643,0-9
69,2020-10-22,635.9056788241338,10-19
69,2020-10-22,1149.6660208989385,20-29
69,2020-10-22,939.0919504728693,30-39
69,2020-10-22,942.6431373881142,40-49
69,2020-10-22,864.3767866055629,50-59
69,2020-10-22,623.445568406143,60-69
69,2020-10-22,564.4100014622021,70-79
69,2020-10-22,691.6274030587821,80-89
69,2020-10-22,1382.3504236925446,+90
69,2020-10-22,754.4571016459574,Tous âges
69,2020-10-23,117.84383790770167,0-9
69,2020-10-23,645.4339072364824,10-19
69,2020-10-23,1186.6916995160482,20-29
69,2020-10-23,998.1272895742027,30-39
69,2020-10-23,1000.3906449037825,40-49
69,2020-10-23,936.9753618585235,50-59
69,2020-10-23,673.6334943064586,60-69
69,2020-10-23,585.6119315689429,70-79
69,2020-10-23,734.4604298420218,80-89
69,2020-10-23,1408.028759736369,+90
69,2020-10-23,794.6479066933682,Tous âges
69,2020-10-24,122.91239007577485,0-9
69,2020-10-24,678.5755712794339,10-19
69,2020-10-24,1250.2711476464385,20-29
69,2020-10-24,1043.0879782937614,30-39
69,2020-10-24,1040.7289773595803,40-49
69,2020-10-24,979.627024819638,50-59
69,2020-10-24,699.2851008777311,60-69
69,2020-10-24,607.5449627138471,70-79
69,2020-10-24,778.5532515306508,80-89
69,2020-10-24,1485.0637678678422,+90
69,2020-10-24,831.6938078975464,Tous âges
69,2020-10-25,123.3347694231143,0-9
69,2020-10-25,681.0611960826553,10-19
69,2020-10-25,1255.8810989520612,20-29
69,2020-10-25,1046.6066408892052,30-39
69,2020-10-25,1042.4274334629822,40-49
69,2020-10-25,984.164435772948,50-59
69,2020-10-25,700.9580317410749,60-69
69,2020-10-25,610.4693668665009,70-79
69,2020-10-25,787.3718158683765,80-89
69,2020-10-25,1510.7421039116666,+90
69,2020-10-25,835.1585324705991,Tous âges
69,2020-10-26,126.29142485449032,0-9
69,2020-10-26,713.78858932507,10-19
69,2020-10-26,1300.7607093970425,20-29
69,2020-10-26,1099.386579820861,30-39
69,2020-10-26,1096.7780287718463,40-49
69,2020-10-26,1057.2167521212396,50-59
69,2020-10-26,744.4542341880151,60-69
69,2020-10-26,663.108641614271,70-79
69,2020-10-26,788.6316107737659,80-89
69,2020-10-26,1459.3854318240178,+90
69,2020-10-26,876.1488893425606,Tous âges
69,2020-10-27,133.47187375926066,0-9
69,2020-10-27,721.659734535271,10-19
69,2020-10-27,1320.956534097284,20-29
69,2020-10-27,1138.8737933919515,30-39
69,2020-10-27,1126.0763965555311,40-49
69,2020-10-27,1096.692227415037,50-59
69,2020-10-27,798.545665436133,60-69
69,2020-10-27,717.2101184383682,70-79
69,2020-10-27,845.3223815162892,80-89
69,2020-10-27,1506.4623812376958,+90
69,2020-10-27,906.691769040394,Tous âges
69,2020-10-28,131.78235636990294,0-9
69,2020-10-28,741.9590037615789,10-19
69,2020-10-28,1292.1587840617542,20-29
69,2020-10-28,1152.5574812631216,30-39
69,2020-10-28,1120.5564142194744,40-49
69,2020-10-28,1117.5643178002633,50-59
69,2020-10-28,812.4867559639985,60-69
69,2020-10-28,731.8321392016377,70-79
69,2020-10-28,836.5038171785633,80-89
69,2020-10-28,1510.7421039116666,+90
69,2020-10-28,910.689528163147,Tous âges
69,2020-10-29,143.60897809540705,0-9
69,2020-10-29,748.1730657696322,10-19
69,2020-10-29,1236.8072645129441,20-29
69,2020-10-29,1126.753955563201,30-39
69,2020-10-29,1105.694923314707,40-49
69,2020-10-29,1090.7935931757338,50-59
69,2020-10-29,833.677213566354,60-69
69,2020-10-29,746.4541599649071,70-79
69,2020-10-29,886.8956133941396,80-89
69,2020-10-29,1600.6162800650518,+90
69,2020-10-29,902.8006168275809,Tous âges
69,2020-10-30,160.0817726416449,0-9
69,2020-10-30,762.2582729878868,10-19
69,2020-10-30,1227.8313424239477,20-29
69,2020-10-30,1092.7402171405784,30-39
